Epoch: ['0/99', '1/99', '2/99', '3/99', '4/99', '5/99', '6/99', '7/99', '8/99', '9/99', '10/99', '11/99', '12/99', '13/99', '14/99', '15/99', '16/99', '17/99', '18/99', '19/99', '20/99', '21/99', '22/99', '23/99', '24/99', '25/99', '26/99', '27/99', '28/99', '29/99', '30/99', '31/99', '32/99', '33/99', '34/99', '35/99', '36/99', '37/99', '38/99', '39/99', '40/99', '41/99', '42/99', '43/99', '44/99', '45/99', '46/99', '47/99', '48/99', '49/99', '50/99', '51/99', '52/99', '53/99', '54/99', '55/99', '56/99', '57/99', '58/99', '59/99', '60/99', '61/99', '62/99', '63/99', '64/99', '65/99', '66/99', '67/99', '68/99', '69/99', '70/99', '71/99', '72/99', '73/99', '74/99', '75/99', '76/99', '77/99', '78/99', '79/99', '80/99', '81/99', '82/99', '83/99', '84/99', '85/99', '86/99', '87/99', '88/99', '89/99', '90/99', '91/99', '92/99', '93/99', '94/99', '95/99', '96/99', '97/99', '98/99', '99/99']

gpu_mem: ['5.65G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.75G', '5.76G', '5.76G', '5.76G', '5.76G', '5.76G', '5.76G', '5.76G', '5.76G', '5.76G', '5.76G', '5.76G', '5.76G', '5.76G', '5.76G', '5.76G', '5.76G', '5.76G', '5.76G', '5.76G', '5.76G', '5.76G', '5.76G']

train_box: [0.08785, 0.07753, 0.07969, 0.07575, 0.07018, 0.07196, 0.05681, 0.04825, 0.05595, 0.05953, 0.06342, 0.04496, 0.0495, 0.04107, 0.04611, 0.0443, 0.04155, 0.03651, 0.03562, 0.03838, 0.03358, 0.03188, 0.03163, 0.03219, 0.03027, 0.03888, 0.03546, 0.03067, 0.03869, 0.0371, 0.03006, 0.03741, 0.03348, 0.03145, 0.03444, 0.03438, 0.02994, 0.03949, 0.02994, 0.03126, 0.02902, 0.03188, 0.03386, 0.03101, 0.03489, 0.03351, 0.03258, 0.02875, 0.03216, 0.027, 0.02792, 0.02725, 0.02593, 0.02611, 0.03615, 0.02885, 0.02528, 0.02916, 0.02398, 0.02427, 0.02444, 0.02641, 0.02326, 0.02689, 0.02383, 0.02379, 0.02296, 0.02264, 0.02225, 0.02228, 0.02139, 0.02275, 0.02225, 0.02166, 0.0251, 0.02123, 0.02125, 0.02402, 0.02141, 0.02054, 0.01976, 0.02001, 0.01944, 0.02389, 0.01932, 0.01947, 0.01983, 0.01934, 0.01888, 0.01916, 0.01798, 0.01971, 0.0194, 0.02781, 0.02286, 0.02321, 0.01937, 0.01989, 0.01981, 0.0191]

train_obj: [0.005429, 0.005037, 0.004369, 0.004034, 0.003732, 0.003411, 0.002957, 0.00315, 0.003026, 0.002983, 0.002563, 0.002832, 0.00314, 0.003258, 0.003321, 0.003463, 0.003422, 0.003539, 0.003819, 0.003692, 0.003799, 0.004082, 0.004155, 0.004061, 0.004133, 0.003652, 0.003942, 0.00387, 0.00375, 0.003923, 0.003743, 0.003757, 0.004281, 0.003908, 0.003691, 0.003755, 0.003665, 0.003727, 0.003654, 0.00369, 0.003595, 0.003805, 0.003329, 0.003502, 0.003411, 0.003382, 0.003657, 0.003638, 0.003681, 0.003785, 0.003542, 0.003564, 0.003437, 0.003499, 0.003755, 0.003523, 0.003279, 0.003461, 0.003505, 0.003169, 0.003186, 0.003333, 0.003268, 0.003336, 0.003218, 0.002905, 0.00306, 0.003026, 0.00299, 0.002811, 0.002831, 0.002664, 0.002764, 0.002599, 0.002894, 0.0025960000000000002, 0.002577, 0.002588, 0.002284, 0.002413, 0.002606, 0.002395, 0.002261, 0.002368, 0.002303, 0.002077, 0.002451, 0.002507, 0.00223, 0.002288, 0.002049, 0.00215, 0.002206, 0.002301, 0.002347, 0.002306, 0.002237, 0.002202, 0.002092, 0.002173]

train_cls: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]

total: [0.09327, 0.08256, 0.08406, 0.07978, 0.07391, 0.07537, 0.05977, 0.0514, 0.05898, 0.06251, 0.06598, 0.04779, 0.05264, 0.04433, 0.04943, 0.04776, 0.04498, 0.04005, 0.03944, 0.04207, 0.03738, 0.03596, 0.03578, 0.03625, 0.0344, 0.04253, 0.0394, 0.03454, 0.04244, 0.04102, 0.0338, 0.04116, 0.03776, 0.03536, 0.03813, 0.03813, 0.0336, 0.04322, 0.0336, 0.03495, 0.03262, 0.03569, 0.03719, 0.03451, 0.0383, 0.0369, 0.03624, 0.03239, 0.03584, 0.03079, 0.03146, 0.03081, 0.02937, 0.02961, 0.03991, 0.03237, 0.02856, 0.03262, 0.02749, 0.02744, 0.02763, 0.02974, 0.02653, 0.03022, 0.02705, 0.0267, 0.02602, 0.02567, 0.02524, 0.02509, 0.02422, 0.02541, 0.02502, 0.02426, 0.028, 0.02383, 0.02383, 0.02661, 0.0237, 0.02295, 0.02237, 0.02241, 0.0217, 0.02626, 0.02162, 0.02155, 0.02228, 0.02184, 0.02111, 0.02144, 0.02003, 0.02186, 0.02161, 0.03011, 0.02521, 0.02551, 0.0216, 0.02209, 0.02191, 0.02127]

labels: [22, 44, 18, 30, 35, 38, 28, 37, 23, 32, 36, 23, 34, 32, 36, 25, 30, 23, 24, 39, 26, 27, 33, 26, 24, 25, 18, 20, 22, 34, 34, 28, 34, 20, 31, 33, 30, 29, 27, 29, 25, 24, 30, 20, 35, 29, 19, 31, 36, 33, 28, 29, 28, 32, 29, 30, 21, 35, 37, 21, 34, 27, 26, 22, 24, 26, 29, 29, 41, 23, 25, 35, 33, 28, 37, 26, 38, 36, 27, 26, 23, 25, 31, 36, 33, 31, 39, 21, 19, 33, 24, 31, 29, 29, 37, 28, 31, 20, 25, 34]

img_size: [320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320]

precision: [0.0004055, 0.0004033, 0.0007931, 0.007777, 0.00439, 0.01397, 0.0002292, 0.001535, 0.0003722, 0.0, 3.016e-05, 0.0003786, 0.0012, 0.004878, 0.006754, 0.007425, 0.02489, 0.09462, 0.03267, 0.1386, 0.1208, 0.2384, 0.1136, 0.1028, 0.1289, 0.07401, 0.1229, 0.1267, 0.1307, 0.1707, 0.1757, 0.1606, 0.1992, 0.1394, 0.1676, 0.362, 0.274, 0.403, 0.2697, 0.1827, 0.3368, 0.4931, 0.06086, 0.2019, 0.1665, 0.3703, 0.3597, 0.3423, 0.6754, 0.8265, 0.692, 0.8285, 0.787, 0.7082, 0.6685, 0.8173, 0.8722, 0.7218, 0.7198, 0.783, 0.8548, 0.849, 0.9452, 0.763, 0.9717, 0.9746, 0.8873, 1.0, 0.9077, 0.8621, 0.9855, 0.9863, 0.8706, 0.7672, 0.8669, 0.862, 0.9506, 0.9999, 1.0, 1.0, 0.9512, 0.9412, 1.0, 1.0, 1.0, 0.9873, 0.9999, 0.9999, 0.9997, 0.9999, 1.0, 1.0, 0.8875, 0.9998, 0.9997, 0.9999, 1.0, 0.9999, 1.0, 0.9999]

recall: [0.0241, 0.2289, 0.3133, 0.01205, 0.0241, 0.0241, 0.1325, 0.04819, 0.1325, 0.0, 0.01205, 0.1325, 0.6265, 0.6265, 0.4699, 0.3012, 0.8193, 0.1928, 0.9759, 0.3976, 0.8675, 0.4217, 0.9277, 0.8916, 0.6988, 0.988, 0.8795, 0.3494, 0.8313, 0.9157, 0.7831, 0.8434, 0.5904, 0.8193, 0.6386, 0.2529, 0.4819, 0.3614, 0.4096, 0.4217, 0.4458, 0.5422, 0.3614, 0.6265, 0.7952, 0.5783, 0.4337, 0.494, 0.727, 0.7952, 0.7349, 0.7831, 0.7711, 0.8313, 0.8675, 0.8675, 0.8221, 0.9398, 0.8668, 0.8259, 0.851, 0.9157, 0.8554, 0.6981, 0.9036, 0.925, 0.8538, 0.8433, 0.8296, 0.9398, 0.8167, 0.8658, 0.9036, 0.8795, 0.8635, 0.9036, 0.9275, 0.9398, 0.9391, 0.9391, 0.9518, 0.9638, 0.9515, 0.9507, 0.9277, 0.9396, 0.9518, 0.9518, 0.9518, 0.9036, 0.9035, 0.9276, 0.9518, 0.9398, 0.9277, 0.9518, 0.9759, 0.9759, 0.9754, 0.988]

map50: [8.657e-05, 9.547e-05, 0.0003466, 0.0002097, 0.0009837, 0.0006246, 3.291e-05, 0.0003424, 7.364e-05, 0.0, 5.302e-07, 7.514e-05, 0.0008752, 0.004394, 0.006034, 0.009896, 0.03532, 0.1018, 0.1036, 0.1618, 0.2682, 0.2241, 0.2826, 0.2065, 0.1506, 0.1146, 0.2269, 0.1494, 0.2077, 0.2366, 0.2488, 0.2301, 0.1874, 0.1685, 0.2605, 0.3656, 0.3215, 0.4273, 0.3003, 0.1665, 0.413, 0.4742, 0.04972, 0.2352, 0.2082, 0.3936, 0.3107, 0.3451, 0.7206, 0.8501, 0.7454, 0.8932, 0.8339, 0.8503, 0.8338, 0.8456, 0.8953, 0.8816, 0.8107, 0.8547, 0.8984, 0.93, 0.9516, 0.7801, 0.9579, 0.9547, 0.9356, 0.9407, 0.884, 0.9008, 0.9304, 0.9511, 0.9382, 0.8724, 0.9017, 0.9121, 0.9599, 0.974, 0.9757, 0.9791, 0.9557, 0.9715, 0.9842, 0.9873, 0.9819, 0.976, 0.9809, 0.9829, 0.9841, 0.9809, 0.9809, 0.9825, 0.9608, 0.9857, 0.9854, 0.9849, 0.9931, 0.9925, 0.9937, 0.9945]

map50:95: [1.292e-05, 1.357e-05, 5.193e-05, 2.174e-05, 0.0001553, 0.000165, 4.326e-06, 5.461e-05, 9.023e-06, 0.0, 2.121e-07, 1.052e-05, 0.0001289, 0.0008487, 0.001343, 0.002381, 0.009829, 0.02722, 0.03009, 0.03882, 0.1034, 0.06086, 0.08857, 0.04349, 0.03132, 0.03268, 0.07667, 0.05232, 0.06924, 0.09731, 0.08385, 0.06809, 0.05117, 0.04257, 0.08841, 0.1491, 0.09511, 0.1142, 0.1012, 0.04499, 0.1173, 0.1533, 0.009866, 0.05753, 0.0549, 0.1186, 0.08914, 0.1125, 0.2258, 0.2153, 0.2036, 0.3054, 0.3399, 0.3284, 0.3111, 0.3313, 0.3579, 0.4336, 0.4165, 0.3727, 0.3933, 0.4965, 0.4562, 0.3501, 0.4953, 0.507, 0.512, 0.5184, 0.5402, 0.5312, 0.563, 0.5861, 0.5943, 0.516, 0.5484, 0.55, 0.5289, 0.571, 0.6088, 0.6334, 0.6273, 0.6343, 0.6442, 0.6517, 0.6512, 0.629, 0.641, 0.6477, 0.641, 0.6594, 0.6608, 0.6554, 0.6211, 0.6298, 0.6547, 0.6467, 0.6596, 0.6307, 0.6554, 0.6565]

